run_id,run_name,status,batch_size,latent_dim,n_steps,n_channels,lr_scheduler_type,lr_scheduler_params,residual_blocks,encoder_hidden_dims,dynamic_loss_weighting_enable,dynamic_loss_weighting_method,dynamic_loss_weighting_params,adversarial_enable,adversarial_params,learning_rate,data_file,best_loss,best_observation_loss,best_reconstruction_loss,final_loss,final_observation_loss,final_reconstruction_loss,final_transition_loss,encoder,decoder,transition
run0001_bs128_ld128_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schstep_rb3_Linear_ehd300-300-300,success,128,128,2,4,step_decay,"{""step_size"": 50, ""gamma"": 0.5}",3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.12017414718866348,1000000000.0,1000000000.0,0.13908818364143372,4.030851778225042e-05,0.006867160089313984,0.0017046850407496095,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
run0002_bs128_ld256_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse,bs128_ld256_ns2_ch4_schstep_rb3_Linear_ehd300-300-300,success,128,256,2,4,step_decay,"{""step_size"": 50, ""gamma"": 0.5}",3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.1568119078874588,1000000000.0,1000000000.0,0.17803673446178436,8.326231909450144e-05,0.008800351060926914,0.0019464426441118121,./saved_models/grid_search/e2co_encoder_grid_bs128_ld256_ns2_ch4_run0002_bs128_ld256_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld256_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld256_ns2_ch4_run0002_bs128_ld256_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld256_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld256_ns2_ch4_run0002_bs128_ld256_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld256_ns2_ch4.h5
run0003_bs128_ld512_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse,bs128_ld512_ns2_ch4_schstep_rb3_Linear_ehd300-300-300,success,128,512,2,4,step_decay,"{""step_size"": 50, ""gamma"": 0.5}",3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.0903637707233429,1000000000.0,1000000000.0,0.10188695043325424,0.001197401899844408,0.00437580794095993,0.013173386454582214,./saved_models/grid_search/e2co_encoder_grid_bs128_ld512_ns2_ch4_run0003_bs128_ld512_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld512_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld512_ns2_ch4_run0003_bs128_ld512_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld512_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld512_ns2_ch4_run0003_bs128_ld512_ns2_ch4_schstep_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld512_ns2_ch4.h5
