run_id,run_name,status,batch_size,latent_dim,n_steps,n_channels,lr_scheduler_type,lr_scheduler_params,residual_blocks,encoder_hidden_dims,dynamic_loss_weighting_enable,dynamic_loss_weighting_method,dynamic_loss_weighting_params,adversarial_enable,adversarial_params,learning_rate,data_file,best_loss,best_observation_loss,best_reconstruction_loss,final_loss,final_observation_loss,final_reconstruction_loss,final_transition_loss,encoder,decoder,transition
run0001_bs64_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs64_ld32_ns2_ch4_schfix_rb3_ehd300-300-300,success,64,32,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.001066944794729352,1000000000.0,1000000000.0,0.0017500874819234014,8.420986887358595e-06,0.0008467152365483344,4.823601557291113e-05,./saved_models/grid_search/e2co_encoder_grid_bs64_ld32_ns2_ch4_run0001_bs64_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld32_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs64_ld32_ns2_ch4_run0001_bs64_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld32_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs64_ld32_ns2_ch4_run0001_bs64_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld32_ns2_ch4.h5
run0002_bs64_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs64_ld64_ns2_ch4_schfix_rb3_ehd300-300-300,success,64,64,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.0009236534824594855,1000000000.0,1000000000.0,0.0019305249443277717,8.10274577816017e-05,0.0008710905676707625,0.00010731635120464489,./saved_models/grid_search/e2co_encoder_grid_bs64_ld64_ns2_ch4_run0002_bs64_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld64_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs64_ld64_ns2_ch4_run0002_bs64_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld64_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs64_ld64_ns2_ch4_run0002_bs64_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld64_ns2_ch4.h5
run0003_bs64_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs64_ld128_ns2_ch4_schfix_rb3_ehd300-300-300,success,64,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.0007357544964179397,1000000000.0,1000000000.0,0.0010717719560489058,1.8431846910971217e-05,0.0004954170435667038,6.250605656532571e-05,./saved_models/grid_search/e2co_encoder_grid_bs64_ld128_ns2_ch4_run0003_bs64_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs64_ld128_ns2_ch4_run0003_bs64_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs64_ld128_ns2_ch4_run0003_bs64_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs64_ld128_ns2_ch4.h5
run0004_bs128_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs128_ld32_ns2_ch4_schfix_rb3_ehd300-300-300,success,128,32,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.0012466565240174532,1000000000.0,1000000000.0,0.002222182461991906,2.817379754560534e-05,0.001043746480718255,0.00010651549382600933,./saved_models/grid_search/e2co_encoder_grid_bs128_ld32_ns2_ch4_run0004_bs128_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld32_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld32_ns2_ch4_run0004_bs128_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld32_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld32_ns2_ch4_run0004_bs128_ld32_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld32_ns2_ch4.h5
run0005_bs128_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs128_ld64_ns2_ch4_schfix_rb3_ehd300-300-300,success,128,64,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.0010404533240944147,1000000000.0,1000000000.0,0.0016353869577869773,2.1432131688925438e-05,0.0007703443989157677,7.326602644752711e-05,./saved_models/grid_search/e2co_encoder_grid_bs128_ld64_ns2_ch4_run0005_bs128_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld64_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld64_ns2_ch4_run0005_bs128_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld64_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld64_ns2_ch4_run0005_bs128_ld64_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld64_ns2_ch4.h5
run0006_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300,success,128,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,0.000696493370924145,1000000000.0,1000000000.0,0.001069713500328362,1.1206104318262078e-05,0.0005011892644688487,5.6128865253413096e-05,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0006_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0006_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0006_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
