run_id,run_name,status,batch_size,latent_dim,n_steps,n_channels,lr_scheduler_type,lr_scheduler_params,residual_blocks,encoder_hidden_dims,dynamic_loss_weighting_enable,dynamic_loss_weighting_method,dynamic_loss_weighting_params,adversarial_enable,adversarial_params,learning_rate,data_file,best_loss,best_observation_loss,best_reconstruction_loss,final_loss,final_observation_loss,final_reconstruction_loss,final_transition_loss,encoder,decoder,transition
run0001_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_smooth_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schfix_rb3_Linear_U-Net_Smooth_ehd300-300-300,success,128,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,7.2584052085876465,1000000000.0,1000000000.0,22.759653091430664,0.0007037412724457681,0.4371473491191864,0.025295034050941467,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0001_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
run0002_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schfix_rb3_Linear_U-Net_ehd300-300-300,success,128,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,2.936795234680176,1000000000.0,1000000000.0,2.936795234680176,0.0008306459058076143,0.04200006276369095,0.024324340745806694,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0002_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0002_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0002_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_unet_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
run0003_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_smooth_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schfix_rb3_Linear_Smooth_ehd300-300-300,success,128,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,4.137955665588379,1000000000.0,1000000000.0,4.195165157318115,0.000335480784997344,0.06687120348215103,0.029300030320882797,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0003_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0003_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0003_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_smooth_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
run0004_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_dlwFalse_advFalse,bs128_ld128_ns2_ch4_schfix_rb3_Linear_ehd300-300-300,success,128,128,2,4,fixed,,3,"[300, 300, 300]",False,gradnorm,,False,,0.0001,processed_data_nstates2_ncontrols6_nobs9_nsteps2_ntrain23925_neval7975_ch4_wells15_20260114_190915.h5,1.047383427619934,1000000000.0,1000000000.0,1.1200237274169922,6.729807500960305e-05,0.005622843746095896,0.018058858811855316,./saved_models/grid_search/e2co_encoder_grid_bs128_ld128_ns2_ch4_run0004_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_decoder_grid_bs128_ld128_ns2_ch4_run0004_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5,./saved_models/grid_search/e2co_transition_grid_bs128_ld128_ns2_ch4_run0004_bs128_ld128_ns2_ch4_schfix_rb3_ehd300-300-300_lin_dlwFalse_advFalse_bs128_ld128_ns2_ch4.h5
